POSTCODE,POST4,BUURTCODE,BUURTNAAM,WIJKCODE,WIJKNAAM,STADSDEELCODE,STADSDEELNAAM
5611CT,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CV,5611,311,Villapark,31,Wijk De Laak,3,Stadsdeel Tongelre
5611CW,5611,311,Villapark,31,Wijk De Laak,3,Stadsdeel Tongelre
5611CX,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CZ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DA,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DD,5611,,,,,,
5611DD,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DD,5611,311,Villapark,31,Wijk De Laak,3,Stadsdeel Tongelre
5611DE,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DG,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DH,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DJ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DK,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DL,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611DM,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EA,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611ED,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EE,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EG,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EH,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EJ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EK,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EL,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EM,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611EM,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EM,5611,,,,,,
5611EN,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EP,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611ER,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611ES,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611ET,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EV,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EW,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EX,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611EZ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GA,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GD,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611GE,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GG,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611GH,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GJ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GK,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GL,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GM,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GN,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GP,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GR,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GS,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GT,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GV,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611GW,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611GZ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611HA,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HB,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HC,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HD,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611HE,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HG,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HH,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HJ,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HK,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HL,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HM,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HN,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HP,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HR,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HS,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HT,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HV,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HW,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611HX,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611HZ,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JA,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JB,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JC,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JD,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JE,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JG,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JH,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JJ,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JK,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JL,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JM,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JN,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JP,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JR,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JS,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JT,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JV,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JW,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JX,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611JZ,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KA,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KE,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KG,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KH,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KJ,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KK,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KL,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KM,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KN,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KP,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KR,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KS,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KT,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KV,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KW,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KX,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611KZ,5611,112,Bergen,11,Wijk Centrum,1,Stadsdeel Centrum
5611LA,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LB,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LD,5611,,,,,,
5611LD,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611LD,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LE,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611LE,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LE,5611,,,,,,
5611LG,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LH,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LJ,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LK,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LL,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LM,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LN,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LP,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LR,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LS,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LT,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LV,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LW,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611LZ,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611MJ,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611MK,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NA,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611NB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611NC,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611ND,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611NE,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NG,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NG,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611NG,5611,,,,,,
5611NH,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611NJ,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NK,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NL,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NM,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NN,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NP,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NR,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NS,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NT,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NV,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NW,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611NX,5611,213,Elzent-Noord,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611NZ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611PA,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611PC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611PD,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PE,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PG,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PH,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PJ,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PK,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PL,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PM,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PN,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PP,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PR,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PS,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PT,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PV,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PW,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611PX,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RA,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RB,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RC,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RD,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RE,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RG,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RH,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RJ,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RK,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RL,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RM,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RN,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RP,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RR,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611RZ,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611SC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611SC,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SC,5611,,,,,,
5611SE,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SG,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SH,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611SJ,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SK,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SL,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SM,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SN,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SP,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SR,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611ST,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SW,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SX,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611SZ,5611,212,Rochusbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TA,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TB,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TC,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TD,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TE,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TG,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TH,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TJ,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TK,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TL,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TM,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TN,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TP,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TR,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TS,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TT,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TV,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TW,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TX,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611TZ,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VA,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VB,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VC,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VD,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VE,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VG,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VH,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VJ,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VK,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VR,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VS,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VT,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VV,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VW,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611VZ,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611WB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611WC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611WD,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611WE,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611WG,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611WH,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611WJ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611XA,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XB,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XC,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XD,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XE,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XG,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XH,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XJ,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XK,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611XP,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611ZB,5611,114,Fellenoord,11,Wijk Centrum,1,Stadsdeel Centrum
5611ZC,5611,114,Fellenoord,11,Wijk Centrum,1,Stadsdeel Centrum
5611ZD,5611,114,Fellenoord,11,Wijk Centrum,1,Stadsdeel Centrum
5611ZE,5611,114,Fellenoord,11,Wijk Centrum,1,Stadsdeel Centrum
5611ZG,5611,114,Fellenoord,11,Wijk Centrum,1,Stadsdeel Centrum
